"crash_unit_id","crash_record_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1302661","962b78e6d293f6983c580db9fdf525a6d2e7ada4387d21ecbc4faa08c2215146573cc0183ec3d154788af27deabd66c71c7dc6f09cc530b74becefe91e8cd656",,"2022-03-21T14:25:00.000","2","DRIVER","2","1237101",,"FORD","FUSION","IL","2017","NONE","PASSENGER","PERSONAL","E","TURNING RIGHT",,,"3",,,,,"Y","Y","Y","Y","Y",,,,,,,,,"SIDE-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302578","92bf7d607015532b9f222e78af72626f88be439d6977214e6eef18c35c60ca4d5a1addc0d1d843f8dc5bc7f78f93e2c3cb1c597de6489a35fc5ace1cedaf0a52",,"2022-03-21T14:15:00.000","1","DRIVER","1","1237017",,"KIA","SORENTO","IL","2019","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","N","ENTERING TRAFFIC LANE FROM PARKING",,,"2",,,,,,,,,"Y",,"N",,,,,,,"REAR-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302579","92bf7d607015532b9f222e78af72626f88be439d6977214e6eef18c35c60ca4d5a1addc0d1d843f8dc5bc7f78f93e2c3cb1c597de6489a35fc5ace1cedaf0a52",,"2022-03-21T14:15:00.000","2","DRIVER",,"1237024",,"HONDA","FIT","IL","2013","NONE","PASSENGER","PERSONAL","S","ENTERING TRAFFIC LANE FROM PARKING",,,"1",,,,,,,,,,,"Y",,,,,,,"FRONT-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302582","57689cea1e467d7b5bdff5aadb397547548257d90a1642c00bdfd675b604bab56ded3123a0e5c4adde1ff7736c31fbf14e5cf7cc94690ba54f1daa01ceaa58fb",,"2022-03-21T14:00:00.000","1","DRIVER",,"1237019",,"HONDA","ACCORD","IL","2019","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,"Y",,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302583","57689cea1e467d7b5bdff5aadb397547548257d90a1642c00bdfd675b604bab56ded3123a0e5c4adde1ff7736c31fbf14e5cf7cc94690ba54f1daa01ceaa58fb",,"2022-03-21T14:00:00.000","2","DRIVER",,"1237022",,"UNKNOWN","MOTORIZED","IL","2013","NONE","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,"Y",,,,,,,,,,,,,,"NONE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302639","7ddfa1f9e2c6fd0351caef9d59be78569b354a9cbd7a9d70614b06208f74dcebc8c9eec5f28ff662c533a534fbec6f6bd9f10602f4ce18df886f7f585628b1f8",,"2022-03-21T14:00:00.000","1","DRIVER",,"1237069",,"HONDA","CIVIC","IL","2003","UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","N","STRAIGHT AHEAD",,,"1",,,,,"Y","Y",,,,,,,,,,,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302640","7ddfa1f9e2c6fd0351caef9d59be78569b354a9cbd7a9d70614b06208f74dcebc8c9eec5f28ff662c533a534fbec6f6bd9f10602f4ce18df886f7f585628b1f8",,"2022-03-21T14:00:00.000","2","PARKED",,"1237077",,"FORD","FUSION","IL","2018","UNKNOWN","PASSENGER","PERSONAL","N","PARKED",,,"0",,,,,,,,,,,,,,"Y",,,,"TOTAL (ALL AREAS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302664","8cb350f196bd5dcb116ba9cc2b8a5d7df2847a0548efa4030a3cfeb3967a2764c328ff3b0859575db6b12a9083b6b0804fc5638a543b29bf2a4d8f558a8da7f0",,"2022-03-21T14:00:00.000","1","DRIVER","1","1237096",,"GENERAL MOTORS CORPORATION (GMC)","TERRAIN","IN","2015","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","E","STRAIGHT AHEAD",,,"2",,,,,"Y",,,,,,,,,,,"Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302665","8cb350f196bd5dcb116ba9cc2b8a5d7df2847a0548efa4030a3cfeb3967a2764c328ff3b0859575db6b12a9083b6b0804fc5638a543b29bf2a4d8f558a8da7f0",,"2022-03-21T14:00:00.000","2","DRIVER","1","1237116",,"PONTIAC","GRAND PRIX","IL","2003","UNKNOWN","PASSENGER","PERSONAL","E","SLOW/STOP IN TRAFFIC","Y",,"2",,,,,,,,,,"Y","Y",,,,,,,"SIDE-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302620","ad05093f8635b236e0798a98676e0aa41d90e9a9a8f846e688512bd9ad8869ca282b24cad9c7530811726cd945f8f04f91feae6ce17218256671aaa9061b4cab",,"2022-03-21T14:00:00.000","1","DRIVER",,"1237052",,"JEEP","JEEP","IL","2018","NONE","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,,,,,"N","N","N",,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
